Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,78,0,Some Random Commen with Id 0
1,0,5,96,7,Some Random Commen with Id 1
2,0,5,63,9,Some Random Commen with Id 2
3,0,5,35,6,Some Random Commen with Id 3
4,0,5,166,4,Some Random Commen with Id 4
5,1,4,155,9,Some Random Commen with Id 5
6,1,4,12,1,Some Random Commen with Id 6
7,1,4,102,3,Some Random Commen with Id 7
8,1,4,37,2,Some Random Commen with Id 8
9,1,4,197,6,Some Random Commen with Id 9
10,1,4,172,8,Some Random Commen with Id 10
11,1,4,173,0,Some Random Commen with Id 11
12,1,4,162,8,Some Random Commen with Id 12
13,2,2,150,1,Some Random Commen with Id 13
14,2,2,77,9,Some Random Commen with Id 14
15,2,2,158,3,Some Random Commen with Id 15
16,2,2,173,6,Some Random Commen with Id 16
17,2,2,40,3,Some Random Commen with Id 17
18,2,2,112,2,Some Random Commen with Id 18
19,2,2,47,9,Some Random Commen with Id 19
20,3,0,33,5,Some Random Commen with Id 20
21,3,0,110,6,Some Random Commen with Id 21
22,4,9,161,9,Some Random Commen with Id 22
23,4,9,2,4,Some Random Commen with Id 23
24,4,9,13,9,Some Random Commen with Id 24
25,4,9,162,9,Some Random Commen with Id 25
26,4,9,159,2,Some Random Commen with Id 26
27,4,9,133,7,Some Random Commen with Id 27
28,4,9,7,1,Some Random Commen with Id 28
29,4,9,90,7,Some Random Commen with Id 29
30,5,0,96,1,Some Random Commen with Id 30
31,5,0,159,6,Some Random Commen with Id 31
32,5,0,123,2,Some Random Commen with Id 32
33,6,2,99,8,Some Random Commen with Id 33
34,6,2,35,6,Some Random Commen with Id 34
35,6,2,86,7,Some Random Commen with Id 35
36,6,2,169,5,Some Random Commen with Id 36
37,6,2,29,8,Some Random Commen with Id 37
38,6,2,187,0,Some Random Commen with Id 38
39,6,2,139,4,Some Random Commen with Id 39
40,6,2,165,0,Some Random Commen with Id 40
41,6,2,82,9,Some Random Commen with Id 41
42,8,8,127,2,Some Random Commen with Id 42
43,8,8,55,5,Some Random Commen with Id 43
44,8,8,149,5,Some Random Commen with Id 44
45,8,8,43,2,Some Random Commen with Id 45
46,8,8,101,2,Some Random Commen with Id 46
47,10,3,19,3,Some Random Commen with Id 47
48,10,3,20,9,Some Random Commen with Id 48
49,10,3,56,0,Some Random Commen with Id 49
50,10,3,163,2,Some Random Commen with Id 50
51,10,3,90,3,Some Random Commen with Id 51
52,10,3,125,1,Some Random Commen with Id 52
53,10,3,112,1,Some Random Commen with Id 53
54,10,3,108,0,Some Random Commen with Id 54
55,10,3,189,5,Some Random Commen with Id 55
56,11,2,65,6,Some Random Commen with Id 56
57,12,4,17,2,Some Random Commen with Id 57
58,12,4,4,5,Some Random Commen with Id 58
59,13,3,148,5,Some Random Commen with Id 59
60,14,0,179,1,Some Random Commen with Id 60
61,14,0,41,2,Some Random Commen with Id 61
62,14,0,25,2,Some Random Commen with Id 62
63,14,0,66,3,Some Random Commen with Id 63
64,14,0,84,7,Some Random Commen with Id 64
65,15,3,87,6,Some Random Commen with Id 65
66,16,0,48,8,Some Random Commen with Id 66
67,16,0,129,6,Some Random Commen with Id 67
68,16,0,146,0,Some Random Commen with Id 68
69,16,0,107,9,Some Random Commen with Id 69
70,16,0,91,6,Some Random Commen with Id 70
71,16,0,77,8,Some Random Commen with Id 71
72,17,8,193,5,Some Random Commen with Id 72
73,18,1,74,1,Some Random Commen with Id 73
74,18,1,153,9,Some Random Commen with Id 74
75,18,1,103,5,Some Random Commen with Id 75
76,19,7,195,8,Some Random Commen with Id 76
77,19,7,141,1,Some Random Commen with Id 77
78,19,7,73,0,Some Random Commen with Id 78
79,19,7,47,3,Some Random Commen with Id 79
80,19,7,132,3,Some Random Commen with Id 80
81,19,7,169,7,Some Random Commen with Id 81
82,19,7,77,3,Some Random Commen with Id 82
83,19,7,119,0,Some Random Commen with Id 83
84,20,0,42,3,Some Random Commen with Id 84
85,20,0,99,0,Some Random Commen with Id 85
86,20,0,60,0,Some Random Commen with Id 86
87,20,0,56,7,Some Random Commen with Id 87
88,20,0,183,0,Some Random Commen with Id 88
89,21,3,13,5,Some Random Commen with Id 89
90,21,3,79,4,Some Random Commen with Id 90
91,21,3,194,9,Some Random Commen with Id 91
92,21,3,128,7,Some Random Commen with Id 92
93,21,3,54,5,Some Random Commen with Id 93
94,21,3,6,1,Some Random Commen with Id 94
95,23,7,20,9,Some Random Commen with Id 95
96,23,7,110,0,Some Random Commen with Id 96
97,23,7,76,0,Some Random Commen with Id 97
98,23,7,73,3,Some Random Commen with Id 98
99,23,7,140,7,Some Random Commen with Id 99
100,24,1,55,8,Some Random Commen with Id 100
101,24,1,161,5,Some Random Commen with Id 101
102,24,1,32,6,Some Random Commen with Id 102
103,25,5,163,2,Some Random Commen with Id 103
104,25,5,38,4,Some Random Commen with Id 104
105,25,5,81,5,Some Random Commen with Id 105
106,25,5,67,5,Some Random Commen with Id 106
107,25,5,74,6,Some Random Commen with Id 107
108,25,5,173,8,Some Random Commen with Id 108
109,25,5,181,7,Some Random Commen with Id 109
110,25,5,98,7,Some Random Commen with Id 110
111,25,5,195,5,Some Random Commen with Id 111
112,26,1,114,2,Some Random Commen with Id 112
113,26,1,35,9,Some Random Commen with Id 113
114,26,1,165,1,Some Random Commen with Id 114
115,26,1,86,8,Some Random Commen with Id 115
116,26,1,105,1,Some Random Commen with Id 116
117,26,1,160,4,Some Random Commen with Id 117
118,27,6,150,0,Some Random Commen with Id 118
119,27,6,43,7,Some Random Commen with Id 119
120,27,6,47,5,Some Random Commen with Id 120
121,30,5,150,3,Some Random Commen with Id 121
122,30,5,187,3,Some Random Commen with Id 122
123,30,5,82,1,Some Random Commen with Id 123
124,30,5,137,2,Some Random Commen with Id 124
125,30,5,15,1,Some Random Commen with Id 125
126,30,5,125,8,Some Random Commen with Id 126
127,30,5,17,8,Some Random Commen with Id 127
128,30,5,140,8,Some Random Commen with Id 128
129,31,9,76,0,Some Random Commen with Id 129
130,32,8,1,6,Some Random Commen with Id 130
131,32,8,93,1,Some Random Commen with Id 131
132,32,8,91,9,Some Random Commen with Id 132
133,32,8,3,4,Some Random Commen with Id 133
134,33,1,158,3,Some Random Commen with Id 134
135,33,1,65,5,Some Random Commen with Id 135
136,33,1,117,6,Some Random Commen with Id 136
137,33,1,6,1,Some Random Commen with Id 137
138,33,1,25,6,Some Random Commen with Id 138
139,33,1,108,6,Some Random Commen with Id 139
140,34,4,198,1,Some Random Commen with Id 140
141,34,4,176,4,Some Random Commen with Id 141
142,34,4,150,1,Some Random Commen with Id 142
143,36,4,66,4,Some Random Commen with Id 143
144,37,6,117,7,Some Random Commen with Id 144
145,38,0,165,8,Some Random Commen with Id 145
146,38,0,47,3,Some Random Commen with Id 146
147,38,0,84,3,Some Random Commen with Id 147
148,38,0,141,6,Some Random Commen with Id 148
149,38,0,67,2,Some Random Commen with Id 149
150,38,0,180,2,Some Random Commen with Id 150
151,38,0,125,0,Some Random Commen with Id 151
152,38,0,75,1,Some Random Commen with Id 152
